"id","content","display_date"
"165","🧱 Bau 
Beim Umbauen entdeckt man Dinge. 
Alte Leitungen. 
Alte Lösungen. 
Und alte Entscheidungen, die heute niemand mehr zugeben will.
","2026-08-11"
"166","📈 Wirtschaft & Aktien 
Langfristige Planung ist wichtig. 
Kurzfristige Panik auch. 
Zusammen ergeben sie eine erstaunlich konstante Strategie.
","2026-08-12"
"167","🙂 Büro 
Man wollte Transparenz. 
Man bekam ein Protokoll. 
Mit so vielen Punkten, dass niemand mehr wusste, was eigentlich geheim war. 
","2026-08-13"
"168","🐷🐗 Tiere 
Prinz Grunzi sitzt. 
Schlingel Öink steht. 
Beide wissen, wo das Essen war.
","2026-08-14"
"169","🚐 Wohnmobil
Udo klappt den Tisch aus. 
Agnes klappt sich zusammen. 
„Nicht stören“, sagt sie. 
Udo isst leise.
","2026-08-17"
"170","🤓 IT / Büro 
Der Fehler trat nur selten auf. 
Meistens dann, wenn jemand zusah oder fragte, ob alles stabil läuft.
","2026-08-18"
"171","🔄 Scrum
Ein Product Owner, ein Scrum Master und ein Developer stehen vor einer Wand.
David sagt: „Ich sehe eine Vision!“
Andreas sagt: „Ich sehe ein Hindernis!“
Rolf sagt: „Ich sehe nichts, mein Viewport ist noch nicht fertig implementiert!“
","2026-08-19"
"172","🦄 Tier
Hörnchen streitet sich mit einem Pferd.
Das Pferd spottet: „Dich gibt es doch gar nicht, du bist nur ein Mythos!“
Hörnchen seufzt, tippt sich mit dem Horn an die Stirn und sagt: „Stimmt, und du bist nur die Basisversion ohne Upgrade!“
","2026-08-20"
"173","🎮 Gaming Gothic
Der Namenlose Held betritt zum ersten Mal das Obere Viertel und geht in das Haus eines der reichen Händler.
Der Händler springt sofort auf und brüllt: „Verschwinde hier! Was hast du in meinem Haus zu suchen?!“
Der Held sagt: „Ganz ruhig, ich wollte mich nur mal umsehen...“
Händler: „Ich zähle bis drei, dann ruf ich die Stadtwache! Eins... zwei...“
In diesem Moment bemerkt der Händler, dass der Held eine schwere Drachenjägerrüstung trägt, ein zwei Meter langes, magisch erzgeweihtes Schlachtschwert auf dem Rücken hat und gerade ein Auge Innos um den Hals trägt.
Der Händler hält inne, setzt sich wieder hin und sagt: „...drei. Schön, dass du da bist! Suchst du vielleicht Arbeit? Ich hätte da ein paar Fleischwanzen im Keller, die wegmüssen.“
","2026-08-21"
"174","🤓 IT
Ein Informatiker fragt eine Super-KI: „Gibt es einen Gott?“
Die KI rechnet kurz, die Lichter flackern, und dann antwortet sie mit tiefer Stimme:
„Ab jetzt schon.“
","2026-08-24"
"175","🧠 Wortwitz
Warum ist die Büroklammer so ein schlechter Teamplayer?
Weil sie zwar alles zusammenhält, aber selbst bei jeder Kleinigkeit sofort verbogen ist!
","2026-08-25"
"176","🕵️ dunkel 
Urs arbeitet seit Jahren im Unternehmen. 
Er kennt alle Prozesse und weiß genau, wann man so tut, als hätte man nichts gehört.","2026-08-26"
"177","👰🤵 Hochzeitstag
Ein Ehepaar feiert seinen 50. Hochzeitstag. Die Lokalzeitung schickt einen Reporter vorbei, um das Geheimnis ihrer langen Ehe zu erfahren.
Der Ehemann sagt: „Das ist ganz einfach. Wir haben eine Abmachung: Meine Frau entscheidet über die kleinen Dinge und ich über die großen.“
„Und was sind die kleinen Dinge?“, fragt der Reporter.
„Oh, Dinge wie: Welches Haus wir kaufen, wohin wir in den Urlaub fahren, wie wir die Kinder erziehen und wo wir unser Geld anlegen.“
„Und was sind dann die großen Dinge?“
„Ob wir den Mond besiedeln sollten oder wie wir den Weltfrieden sichern!“","2026-06-18"
"178","📈 Wirtschaft & Finanzen
Meine Aktien sind wie ein guter Wein. Sie liegen im Keller.","2026-08-27"
"179","🎮 Gaming
Quest-Log: Mein Chef gibt mir Sidequests, während die Main-Quest seit drei Monaten brennt. Die Belohnung ist meistens nur XP (Erfahrung), kein Gold.","2026-08-28"
"180","🧱 Bau
DIN-Norm: Die Norm sagt, es muss halten. Die Realität sagt, wir brauchen mehr Bauschaum.","2026-08-31"
"181","🇬🇧 Reisen
Ein Tourist fragt einen jungen Mann in London: „Sagt mal, regnet es hier eigentlich immer?“
Der Teenager antwortet: „Das kann ich Ihnen nicht sagen, Herr, ich bin erst 15 Jahre alt.“
","2026-09-01"
